,Age,p_die_stI,p_die_stII,p_die_stIII,p_die_stIV
0,20,0.015597893148340147,0.031053547365378686,0.06798660240857168,0.2508522612557994
1,21,0.01583629181948798,0.03128820304633839,0.06821231378599679,0.25103368693964034
2,22,0.01608218849828713,0.03153023901210761,0.06844512413602444,0.2512208187423913
3,23,0.016335942564273176,0.03178000899976552,0.06868537371243855,0.2514139301583539
4,24,0.01659524780322086,0.032035243003918135,0.06893087903499207,0.2516112661169526
5,25,0.016865800581340018,0.03230154795469409,0.06918703331606024,0.2518171616555015
6,26,0.01714256080733434,0.03257396289300141,0.06944906469201095,0.2520277811737196
7,27,0.01742866809094168,0.03285557813497897,0.06971994568628614,0.252245513971182
8,28,0.01772460407186449,0.03314686775832132,0.07000013230629609,0.25247072658437975
9,29,0.0180308840580653,0.03344833898037236,0.07029011243592642,0.25270381117195617
10,30,0.018351354676663267,0.03376377803409125,0.07059352798937646,0.25294769508645176
11,31,0.018680138988583006,0.03408740025157653,0.07090481479127808,0.2531979058713484
12,32,0.019024597133721177,0.03442645021448265,0.07123094128363705,0.25346004472571104
13,33,0.019378460353157267,0.03477475758685,0.07156597232342632,0.2537293410110605
14,34,0.019745881844361657,0.03513641035866588,0.07191384007988688,0.2540089553854975
15,35,0.020131628562647386,0.035516100641424075,0.07227905781663979,0.25430251558789885
16,36,0.020528773019264923,0.035907009711756976,0.07265506671764721,0.2546047496745175
17,37,0.020942065179695546,0.03631381295807634,0.07304636396087716,0.25491927245466217
18,38,0.021368027783874144,0.03673308771521189,0.07344965734190945,0.2552434376707756
19,39,0.02181652428695513,0.03717454257664976,0.07387428539454666,0.25558475158993454
20,40,0.022284436426093568,0.03763510823798599,0.07431729580618363,0.2559408411579339
21,41,0.02276795776727758,0.03811103802831495,0.07477508471669914,0.2563088096099123
22,42,0.023273124767031583,0.03860827362847563,0.07525336732958143,0.2566932507980405
23,43,0.02380699653911056,0.0391337633202562,0.0757588270809475,0.25709953683506603
24,44,0.024366158031195573,0.03968414566953671,0.07628823066350099,0.2575250688046471
25,45,0.024940200373307464,0.040249175231318435,0.07683172315494247,0.2579619253691987
26,46,0.02554217640436196,0.04084169990777076,0.07740166273762583,0.2584200399743014
27,47,0.026160687797426863,0.041450500331960294,0.0779872576900209,0.2588907382878026
28,48,0.026831406765880028,0.042110688643905214,0.07862228179273878,0.25940116750676934
29,49,0.027530227582347133,0.04279853758940233,0.07928391219654418,0.2599329827383703
30,50,0.028258832827067426,0.043515703331256095,0.07997374193675733,0.2604874644564814
31,51,0.02902734757898806,0.04427215197910839,0.0807013572476667,0.26107231802859965
32,52,0.029821581728582958,0.045053916215953116,0.08145332320049714,0.2616767445257202
33,53,0.030679387524373714,0.04589825398920222,0.08226547759212632,0.2623295501909312
34,54,0.031568658391506466,0.046773562814876546,0.08310742252142578,0.26300630134232217
35,55,0.032500937008214326,0.047691204144815647,0.08399008637902217,0.2637157821659867
36,56,0.03347924250171819,0.04865414970428328,0.08491632761777668,0.2644602902721339
37,57,0.034506878265535446,0.04966565102170306,0.08588927382853295,0.2652423396027459
38,58,0.035612531406919334,0.05075394480097439,0.08693608542481712,0.2660837615632822
39,59,0.036791816034855596,0.051914714011983,0.08805260992751796,0.26698121841166267
40,60,0.0380380162034597,0.053141348152886514,0.08923248880540291,0.26792959919207193
41,61,0.03935674113911103,0.05443936838212682,0.09048103276849517,0.2689331726268428
42,62,0.04073779700428892,0.05579874091103576,0.09178859048318211,0.2699841810219652
43,63,0.04221981837743738,0.05725749373393818,0.09319174044159584,0.27111202598769335
44,64,0.04385237386548124,0.058864417203381425,0.09473741326835816,0.27235443012694693
45,65,0.04555509175802164,0.060540401489001416,0.09634951453990237,0.27365022912009984
46,66,0.04744059894981234,0.0623963051813915,0.09813467728160374,0.27508513406319623
47,67,0.04941686448720739,0.06434154226346889,0.10000576831770602,0.2765891077424406
48,68,0.05156565905629418,0.066456599576599,0.10204020659564284,0.2782243791231629
49,69,0.05385296896576919,0.06870799746312917,0.104205788592305,0.279965063173475
50,70,0.056290431462126644,0.07110719045838698,0.10651353223377025,0.2818200160476212
51,71,0.05895983027843332,0.07373467824587221,0.10904086882010633,0.2838514766399174
52,72,0.061781946817213385,0.07651248600363691,0.11171279567337111,0.28599915817044697
53,73,0.06493057802726188,0.07961168197284141,0.11469386047546204,0.28839532324844663
54,74,0.06841838698161806,0.08304473040931737,0.11799605238573307,0.2910496087006429
55,75,0.07219947017762995,0.08676644852063808,0.12157591083134489,0.2939270811344995
56,76,0.0762502008210334,0.09075358046619741,0.12541106640792177,0.29700976013391045
57,77,0.08078360230423354,0.0952158050540377,0.12970320565629911,0.30045976033842114
58,78,0.08567172133347811,0.10002717792745641,0.13433118480482809,0.3041797069862222
59,79,0.09110798270762899,0.10537808700964502,0.13947813481463844,0.30831679983407534
60,80,0.0967202227456051,0.11090221179389881,0.14479169811309744,0.31258781561561
61,81,0.10307024683665877,0.11715253701602679,0.15080378147486362,0.3174202983537854
62,82,0.11007183718931135,0.12404419855127158,0.1574327555167715,0.3227486347559476
63,83,0.11767966743806324,0.13153258168298843,0.16463570608858147,0.3285383306413314
64,84,0.12625874105653756,0.13997695912961716,0.17275821161319238,0.3350671602294304
65,85,0.13618696690501864,0.14974930637459394,0.1821580690908362,0.34262271897149643
66,86,0.14672953392161625,0.1601263492936359,0.19213957323033826,0.3506458024107454
67,87,0.1580388499678571,0.17125810286106313,0.2028470209281118,0.3592523956756474
68,88,0.17094270899960173,0.1839593642125794,0.21506415193028006,0.3690724648805197
69,89,0.18476733888447738,0.19756693980867213,0.22815305145595788,0.37959325729364557
70,90,0.19942280866122986,0.2119923106536149,0.24202857456268345,0.39074633383327406
71,91,0.21428720609763152,0.22662332887909997,0.2561019064475143,0.40205840808603
72,92,0.2304737435006945,0.24255572874697107,0.2714270155825588,0.4143766546736821
73,93,0.24624355151467903,0.25807794210625423,0.2863575731709458,0.4263777626882619
74,94,0.2622508872831164,0.27383395390367316,0.3015130175692138,0.438559633603387
75,95,0.2820288759055454,0.2933014172324957,0.3202384451614694,0.45361103927417346
76,96,0.3022625061613453,0.3132173683705729,0.3393952656813167,0.46900919643699934
77,97,0.31942379864596826,0.3301092191293872,0.3556432545918726,0.4820692492033435
78,98,0.33415885979001814,0.34461293171340834,0.3695941333079955,0.49328289620743904
79,99,0.3478955479899608,0.3581339463573643,0.38259977130061307,0.5037367634139341
80,100,0.36278652280406876,0.37279112468111564,0.3966982661467201,0.5150690635299546
